address,amount,points
0x1DDc8632699f90770b26c00c408aF31Bac3dCA16,4993483953926795948064,2541.3200075398872
0x84EB5796DF6787E19E2C7634c0b8E65997e78f23,4974236497211304595112,2531.524452513247
0xdb5cC2B34981712d6f0db608858093F40c6Cb3B7,4891765093510031874757,2489.5525086340385
0x1d467E892Ce52623bE30Df7fe1d4C2C7Cb3B5f78,4890880491113973221218,2489.1023103779585
0x453b6f78D3A854952e822144f883457D199EeC7f,4853989584217198171245,2470.3275229433575
0xD294CE0eeDf8eA7811315eB4ed3742a0462De3F4,4793380703090977476677,2439.482012341577
0x05D3a697b7514b548944f9Ac057b81177cf29D8F,4791924898342530468653,2438.741113648713
0xA81a5C104c59AcBf942F69B83e89a98CB3683A9b,4648255533104719688708,2365.6238601002588
0xbD250F6bBB4Af89875740Ca403ea8747f9Ac1555,4647927235244216717547,2365.456780376157
0x0eC548b4041576ba6052cB6A7a581266b60a9318,4643210838844757745392,2363.0564777729996
0xFA1BaCc6441AfFca34f8b8B69bF54f4eA68a380C,4643119824567945215676,2363.0101581282847
0xc30F97d5BB7506599e2FC0aF94E28b62fdcdAC7d,4639871689118994254386,2361.3570935185294
0x6D4bf3e0bD0D3F42424f8bA26406A277B1117B1A,4630331690464983694255,2356.5019283322517
0xC8DB33cAF5cDA69450207d25b39c0C3d1781ab34,4605685531963343237294,2343.9588269050478
0x3DD301799286FFF01961b32d715ACdA1a950a02f,4542830946559589392564,2311.9704162230487
0x17CfAcAF5d89d4E629f82C32F5a020D6F46d50a3,4498496289805812011764,2289.407301717156
0x9f46cE4927F3ec814Fe16469C90Bb9c5E3bcE4a5,4482755065289703452436,2281.396163767167
0x3922C4747D5Bf3a3445466842Eb171D3093eed78,4438219205502326076385,2258.730651556669
0xbfBD59DCACeb502355D08481bfDD02Ffaf6133b0,4430747040533189647249,2254.9278632607798
0xf5fdD617D3c7A43710fe11299Ab736168C3Db832,4421696570750099454017,2250.3218326517663
0xd3744cb6a260e643C884A05BA038Cf98eDAc0Eed,4237133994064072794572,2156.392909858999
0x4406c7Eea393E2b8E5F9b6D5da7c3a77366d543D,4203853138609194502351,2139.4553759416194
0x0536Aae9e2bcbBf8A6a987Da03Ce36e506201C5d,4167715288481340394355,2121.063839610122
0xAB11BC2271117b079E12b4758Dc8259d2cA37f34,4146946673303499665053,2110.494125605366
0xd2cf47f332d1420f7a8a78c91b738FB881F0c8eB,4142456689544065739028,2108.209050562238
0x8839826aAf129c1D429117FB9DE7Fc4B05694BCA,4140883716603134416800,2107.4085217845372
0xA0DC668cbf679698D471522e397Ba3350b018d23,4115973986493915617757,2094.7312815864993
0xdcBc206728F2a0c7e8ba6b9601BDe08a9069f61D,4110672639725773478858,2092.033281806568
0x71778c6691A62849b2CF2b1bBB040e3830130495,4054121347594276357995,2063.252788773644
0x8B721b41c5849662257f73DDA7862b04c489e925,4028099740322793877567,2050.009684
0x7884c0E303d5928CC0f7da05c6F1056d01ec3F99,4005340934843769446161,2038.4271079378354
0x5636B0b1729c1817aaEe55928507f6E415B08360,4004680562286705935549,2038.0910263548808
0x9e1FaDBE44Ab8EA5dc8Dc1d7D21CCF4E4b5A3049,3999048383558189925679,2035.2246571783937
0x708F38a1710AFbBA155d9662f1AeEA36d9d5b61C,3980306774856662286766,2025.686541985449
0xc742fA5E837286DfA0AAF74756DCA391b101C170,3962946859668586512271,2016.8516082590754
0xe931064219a5f51E27A4A9319952c56a7540ac62,3961270672163928793452,2015.9985507783108
0xD12AFbC7bAdC0cC52Ceb576738A3e65dAF355054,3945617287192109415628,2008.032116765175
0x15468A60889549b0F7A542C99FbAE163AeAFCaf6,3900871950722310884885,1985.2599961648114
0x50b96Db67653C0fb57513aB4592E93594AAB6285,3879610015896706045169,1974.439218353194
0x3F0343E418A82AEc34fcF4E1817E1C6841f6c805,3868176010003527153458,1968.6201412898113
0xd88fed07219bA97abAA81F6e08376F90A4B20223,3866701232702339893876,1967.8695869480425
0xC901Da7E8CA49d6B90B8B7eA8BB47fC7D0700833,3783979145436969702132,1925.7700633744003
0x54771E2e04b49fA2fAA033349d9b62Bd8c6da165,3730817426287183934619,1898.714616364437
0x90Ecca3643D13636f402107C270439DD73b16089,3715201599057938892656,1890.7672965095771
0x50A846d1091Fb085f69110980f10C14AA0206e8e,3669775991333272486372,1867.648967336902
0x4b43139AeA9D97510Aaa4c29507b5a08bFc7f652,3648651514736522130988,1856.8981457623347
0x197da6348eC7542C3b349292dA0A088f6d3DFf80,3627103879807310022443,1845.9319673854704
0x3D0A640b3AEBf2EBF0AcE841e6453317da0B8Ed5,3616237962275257359579,1840.4020059638924
